{CODIGO=POSRANGP, NOMBRE=CONTIENE EL NUMERO FINAL PARA EL RANGO DE CONSULTAS PAGINADAS., TIPO=N, VALOR=50, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:13:27.0, APLICACION=6, VERSION=0}
{CODIGO=TIJUPORT, NOMBRE=CODIGO DEL TIPO DE JUEGO DE PORTENITO, TIPO=A, VALOR=85, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:46.0, APLICACION=5, VERSION=0}
{CODIGO=VATCPGLT, NOMBRE=VALIDA PROGRAMACION LOTERIAS EN TOPES CENTRALIZADOS PARA VENTA FUTURA, POSIBLES VALORES S/N, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:48.0, APLICACION=5, VERSION=0}
{CODIGO=TJANUTOP, NOMBRE=TIPOS DE JUEGOS NO PERMITIDOS EN LA ANULACION DE TOPES    ,codigotpojuego,codigotpojuego, , TIPO=A, VALOR=,0,, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:48.0, APLICACION=5, VERSION=0}
{CODIGO=TOMICROB, NOMBRE=TIME OUT MICROSERVICIO BASIC CODESA., TIPO=N, VALOR=5, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:14:48.0, APLICACION=11, VERSION=0}
{CODIGO=CXSVREST, NOMBRE=Puerta de enlace delega logica de negocio a Servicios Rest. IP|puerto|timeout|Protocolo(TCP,REST), TIPO=A, VALOR=http://{ipSocket}|3695|60000|REST, LOGIN=USER, FECHAUPD=2021-03-01 00:15:43.0, APLICACION=25, VERSION=0}
{CODIGO=MTSVBNRS, NOMBRE=Url del servicio de BNet expuesto para que Matrix retroalimente a BNet al finalizar la operacion, TIPO=A, VALOR=http://127.0.0.1:3695/matrix/respuestaOperacion, LOGIN=USER, FECHAUPD=2021-03-01 00:15:43.0, APLICACION=25, VERSION=0}
{CODIGO=PARSGMTX, NOMBRE=Parametros de seguridad para las operaciones de matrix: IdRed|Username|Password, TIPO=A, VALOR=2|mipos|123456, LOGIN=USER, FECHAUPD=2021-03-01 00:15:43.0, APLICACION=25, VERSION=0}
{CODIGO=CNHLVFMT, NOMBRE=Configuracion hilos verificacion: CantHilos|MinimoMinutos|CantRegRecuperados, TIPO=A, VALOR=10|20|5, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=CFCXPEMT, NOMBRE=Configuracion de la conexion hacia la puerta de enlace de Matrix ip|puerto|timeOut, TIPO=A, VALOR=192.13.10.114|6248|60000, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEACGX, NOMBRE=Indica tipo de servicio de acordion de Matrix, TIPO=A, VALOR=GX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEENGX, NOMBRE=Indica tipo de servicio de envio giro por Matrix, TIPO=A, VALOR=IX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEPGGX, NOMBRE=Indica tipo de servicio de pago giro por Matrix, TIPO=A, VALOR=HX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEPIGX, NOMBRE=Indica tipo de servicio de pago giro internacional por Matrix, TIPO=A, VALOR=PIX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEGNGX, NOMBRE=Indica tipo de servicio de pago generico por Matrix, TIPO=A, VALOR=KX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEREGX, NOMBRE=Indica tipo de servicio de recaudos por Matrix, TIPO=A, VALOR=WX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=TISEANGX, NOMBRE=Indica tipo de servicio de anulacion de giros por Matrix, TIPO=A, VALOR=AGX, LOGIN=USER, FECHAUPD=2021-03-01 00:15:44.0, APLICACION=25, VERSION=0}
{CODIGO=VALPRUSO, NOMBRE=VALIDA SI SOAT ACS ESTA EN MODO PRUEBA, TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:00:00.0, APLICACION=10, VERSION=0}
{CODIGO=IMPSOACS, NOMBRE=Encabezado y pie de pagina de impresi¿nseparado por ~, TIPO=A, VALOR=Se solicita autorizaci¿nal tomador para tratamiento de sus datos y se le informa que las pol¿ticasde tratamiento de datos y la posibilidad de modificarlos o eliminarlos est¿nen la p¿gina ACS~Conserva tu recibo y descarga tu p¿lizaen nuestra p¿gina ACS Las autoridades de control de tr¿nsitodeben verificar la  tenencia del SOAT mediante la consulta en l¿neaen tiempo real de la base del RUNT por medio de dispositivos m¿vilesSi tienes cualquier inquietud comun¿catea nuestras l¿neasde atenci¿nal cliente, en Bogot¿4235757 y en el resto del pa¿s01-8000-512620., LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:15:45.0, APLICACION=20, VERSION=0}
{CODIGO=TJACUNVT, NOMBRE=TIPOS DE JUEGOS AUTORIZADOS PARA ACUMULAR LA NO VENTA ,#,#, (*)no acumula ninguno , TIPO=A, VALOR=*, LOGIN=GAMBLE, FECHAUPD=2021-05-29 21:56:34.0, APLICACION=5, VERSION=0}
{CODIGO=TDNREPSS, NOMBRE=DETERMINA SI SE CREA TRAMA DE VENTA DE CHANCE MILLONARIO PARA REVERSADOS EN LA REPLICACION (S/N), TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:15:52.0, APLICACION=5, VERSION=0}
{CODIGO=NITDESEC, NOMBRE=CONTIENE LOS DESTINOS Y EL NIT PARA IDENTIFICAR FORMULARIOS DEL EJE CAFETERO [,id,id,;,nit,nit], TIPO=A, VALOR=,#,#,;###, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:15:53.0, APLICACION=5, VERSION=0}
{CODIGO=NOPERINU, NOMBRE=CONFIGURACION DE NOTIFICACION CORREO DE OPERACION INUSUAL, TIPO=A, VALOR=DESTINATARIO@CORREO.COM|CUERPO DEL CORREO O NOTIFICACION, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:15:54.0, APLICACION=5, VERSION=0}
{CODIGO=WARESERV, NOMBRE=CODIGO DEL SERVICIO BOLETERIA EN CODESA PARA W ARENA, TIPO=A, VALOR=10, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:15:56.0, APLICACION=6, VERSION=0}
{CODIGO=SERVRASP, NOMBRE=SERVICIOS CREADOS PARA RASPE FISICO (,CODSERVICIO,CODSERVICIO,), TIPO=A, VALOR=,2130,, LOGIN=GAMBLE, FECHAUPD=2021-11-08 10:25:48.0, APLICACION=5, VERSION=0}
{CODIGO=ACTCCOS, NOMBRE=DEFINE SI SE PUEDE MODIFICAR EL CCOSTO DEL CAJERO(CP) EN LA FORMA TALONARIO POR CCOSTO (S=SI, N=NO), TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:16:00.0, APLICACION=5, VERSION=1}
{CODIGO=DESTINUJ, NOMBRE=DESTINO NUEVOS JUEGOS(RASPE-BINGO-KENON) , TIPO=A, VALOR=10, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:16:02.0, APLICACION=5, VERSION=0}
{CODIGO=URLNUJ, NOMBRE=URL PARA SUPER JUEGOS(RASPE-BINGO-KENON) , TIPO=A, VALOR=https://190.145.30.186:980/Codesa_Raspa_Web_0.0.3, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:16:02.0, APLICACION=5, VERSION=0}
{CODIGO=PRINSIV, NOMBRE=Valida los productos que manejan incentivo para la replicacion a SIVICAL ,CODPRODUCTO,CODPRODUCTO,, TIPO=A, VALOR=,1767,1768,, LOGIN=GAMBLE, FECHAUPD=2024-01-11 10:20:01.0, APLICACION=5, VERSION=0}
{CODIGO=SGIRMOVI, NOMBRE=PARAMETRO PARA ACTIVACION DE SERVICIOS DE SUPERGIROS MOVIL, TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2020-04-29 10:28:20.0, APLICACION=1, VERSION=0}
{CODIGO=VALUBICA, NOMBRE=PARAMETRO PARA ACTIVAR EL CONTROL DE UBICACION (LATITUD Y LOGITUD) EN SUPERGIROS MOVIL, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2019-11-24 23:06:27.0, APLICACION=1, VERSION=0}
{CODIGO=INSCODES, NOMBRE=INSERT CONFIGDESTINOS (S o N)|TIPOJUEGO SEPARADO POR COMA|IDDESTINO SEPARADO POR COMA, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2019-11-24 23:06:28.0, APLICACION=6, VERSION=0}
{CODIGO=PROCPDTE, NOMBRE=PROCESOS QUE REGISTRAN LA TRANSACCION EN PENDIENTES CUANDO LA PETICION A MANAGER EXPIRA POR TIMEOUT, TIPO=A, VALOR=70,71,75,78,96, LOGIN=GAMBLE, FECHAUPD=2019-11-24 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=IPSIAST2, NOMBRE=Conexiones,IPs y PUERTOS DE CONFIGURACION ASTRO NUEVO(codEmpr1=conexion:ip:puerto1, TIPO=A, VALOR=025=172.22.211.5:5003, LOGIN=GAMBLE, FECHAUPD=2022-07-12 21:35:53.0, APLICACION=11, VERSION=0}
{CODIGO=VZONBEPS, NOMBRE=Activa la opcion del ahorro para los vendedores total (*), Por Zona(,zona,), o se desactiva (N), TIPO=A, VALOR=,1708,1077,1703,1390,1431,1696,1692,1409,, LOGIN=GAMBLE, FECHAUPD=2023-04-27 08:26:38.0, APLICACION=6, VERSION=0}
{CODIGO=TIMOUTLV, NOMBRE=ESTABLECE EL TIME OUT PARA LOTERIA VIRTUAL EN TRANSACCIONES CONTRA EL WS Y MICROSERV, TIPO=N, VALOR=15, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:24.0, APLICACION=5, VERSION=0}
{CODIGO=PATIPCON, NOMBRE=INDICA SI LOS CONTRATOS VAN A MANEJAR EL CAMPO TIPO DE CONTRATO, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:25.0, APLICACION=6, VERSION=0}
{CODIGO=KEYEPAYM, NOMBRE=Llave de encripcion usada por el PosSlim en el proceso de logueo en BNet Recaudos, TIPO=A, VALOR=Bnet.Recaudos_2018, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:26.0, APLICACION=5, VERSION=0}
{CODIGO=PAUSBTEP, NOMBRE=TIEMPO DE ESPERA DEL BLOQUEO DE BOTON DE EPAYMENT, TIPO=N, VALOR=5, LOGIN=GAMBLE, FECHAUPD=2021-03-01 00:12:35.0, APLICACION=6, VERSION=0}
{CODIGO=VTKEPAYM, NOMBRE=Tiempo de vigencia del tokenJWT para el logueo en BNet Recaudos, TIPO=N, VALOR=60, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:26.0, APLICACION=5, VERSION=0}
{CODIGO=VALDIMUL, NOMBRE=INDICA SI EL SELECTOR DE CHANCE INICIA EN DIV(S),MUL(N);(S)=OCULTA LISTA,(SIN VALOR)=NO OCULTA LISTA, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:26.0, APLICACION=5, VERSION=0}
{CODIGO=LIMCAPOS, NOMBRE=PARAMETRO QUE INDICA SI BORRA TODOS LOS CAMPOS DEL ACORDEON DE CHANCE CON LA OPCION 1, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:34.0, APLICACION=5, VERSION=0}
{CODIGO=VGASUE, NOMBRE=Parametro que indica el tipo de juego gane sue¿s, TIPO=A, VALOR=108, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:35.0, APLICACION=6, VERSION=0}
{CODIGO=NOPERINF, NOMBRE=NO permita mostrar informaci¿ transacciones que se realiza mediante la aplicaci¿ requerida, TIPO=A, VALOR=Z,BL, LOGIN=GAMBLE, FECHAUPD=2021-07-25 22:56:38.0, APLICACION=5, VERSION=0}
{CODIGO=TSINSREM, NOMBRE=INDICA SI SE INSERTAN LOS GIROS INTERNACIONALES DESDE EL MICROSERVICIO DE REMESAS S(Si)-N(No), TIPO=A, VALOR=S, LOGIN=CP15517507, FECHAUPD=2022-02-10 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=OMTCONS2, NOMBRE=OMITE EL CONSOLIDADO 2 GENERADO EN CODESA PARA LA ACTUALIZACION DE CONSOLIDADOS EN EMPRESA S/N, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2020-06-08 01:07:19.0, APLICACION=17, VERSION=0}
{CODIGO=LOPROVQ, NOMBRE=Nits que usan la tabla equivalencias, deben estar en formato ####-# y separados por punto y coma ;, TIPO=A, VALOR=860062187-4, LOGIN=GAMBLE, FECHAUPD=2020-06-08 01:07:20.0, APLICACION=6, VERSION=0}
{CODIGO=TIREVBLT, NOMBRE=TIEMPO DE ESPERA PARA REVERSO BALOTO WS (SEGUNDOS), TIPO=N, VALOR=20, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:24.0, APLICACION=6, VERSION=0}
{CODIGO=PRDTPLR, NOMBRE=PRODUCTOS TRIPLETA (CHANCE MILLONARIO;DOBLE ACIERTO LOCAL 4CFR;DOBLE ACIERTO LOCAL 3CFR), TIPO=A, VALOR=0, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:24.0, APLICACION=5, VERSION=0}
{CODIGO=DSCTPLR, NOMBRE=DESCRIPCION TEXTO DE LA TRIPLETA EN EL PUNTO DE VENTA, TIPO=A, VALOR=LA TRIPLETA: CH MILLO  DA LOCAL 4CIF Y DA LOCAL 3CIF, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:24.0, APLICACION=5, VERSION=0}
{CODIGO=PIELAGRA, NOMBRE=PIE DE PAGINA FORMULARIO DE LA GRANDE, TIPO=A, VALOR=EN CASO DE GANAR UN PREMIO?SE ENTREGARA AL PORTADOR?DEL BILLETE.??WhatsApp SAC - 33120275?https://www.pani.gob.hn??, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:36.0, APLICACION=5, VERSION=0}
{CODIGO=NMBTSIGN, NOMBRE=NOMBRE DEL BOTON DE SIGNOS ZODIACALES, N=NO ACTUALIZA, DIFERENTE DE N=ACTUALIZA A NOMBRE ESTABLECIDO, TIPO=A, VALOR=Zodiaco, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:36.0, APLICACION=5, VERSION=0}
{CODIGO=DOCHOND, NOMBRE=INDICA SI EN EL PAGO DE PREMIOS L, SE PERMITE REGISTRAR EN PERSONAS DOCS DE 13 DIGITOS (HONDURAS), TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:40.0, APLICACION=6, VERSION=0}
{CODIGO=MOBHOND, NOMBRE=INDICA SI LA APP DE BNETMOBILE ESTA SIENDO USADA EN EL PAIS DE HONDURAS , TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:40.0, APLICACION=6, VERSION=0}
{CODIGO=TIMOBILE, NOMBRE=TIEMPO (MINUTOS) DE INACTIVIDAD PARA EL PUNTO DE VENTA MOVIL (BNETMOBILE), TIPO=N, VALOR=0, LOGIN=GAMBLE, FECHAUPD=2024-04-28 23:57:45.0, APLICACION=6, VERSION=0}
{CODIGO=CANSORML, NOMBRE=CANTIDAD DE SORTEOS FUTUROS PERMITIDOS PARA MILOTO, TIPO=N, VALOR=3, LOGIN=GAMBLE, FECHAUPD=2024-04-29 00:01:05.0, APLICACION=5, VERSION=0}
{CODIGO=CVCONDTR, NOMBRE=CREACION DE CONDTRAS, SI ESTA EN [S] NO CREA CONDTRAS PARA USUARIO SOLO CV Y SI ESTA EN [N] SI CREA, TIPO=A, VALOR=N, LOGIN=CP142017, FECHAUPD=2023-02-26 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=REPGOBLT, NOMBRE=EN S: ASIGNA EL REGISTRO DEL SERVICIO DE PAGO DE PREMIO BALOTO | EN N: ASIGNA EL REGISTRO DE VENTA, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2023-02-26 23:04:10.0, APLICACION=6, VERSION=0}
{CODIGO=PAGPOSCP, NOMBRE=S: PERMITE PAGO PREMIO BALOTO POR POSSLIM,N: NO PERMITE PAGAR POR POSSLIM, DEBE PAGAR POR TESORERIA, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2023-02-26 23:04:11.0, APLICACION=6, VERSION=0}
{CODIGO=CONMPAGO, NOMBRE=CREA CONDICIONES PAGO, SI ESTA EN [S] CREA METODO DE PAGO EFECTIVO AL USUARIO CON CONTRATO CV O CP, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2023-02-26 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=CAJAAPER, NOMBRE=SI EL VALOR ESTA EN [S] VALIDARA LA FECHA APERTURA DE LA CAJA, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2023-02-26 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=PDIVSERV, NOMBRE=DIVIDE EL SERVICIO DE PAGO DE PREMIOS DE LOTERIA O RASPE POR PROVEEDOR, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2023-02-26 23:04:12.0, APLICACION=6, VERSION=0}
{CODIGO=CTPJKASH, NOMBRE=DETERMINA EL TIPO JUEGO KASH (CODIGO), TIPO=N, VALOR=107, LOGIN=GAMBLE, FECHAUPD=2022-12-14 12:25:24.0, APLICACION=5, VERSION=0}
{CODIGO=TOUTKASH, NOMBRE=TIEMPO DE ESPERA RESPUESTA SUPERJUEGOS (SEGUNDOS), TIPO=N, VALOR=30, LOGIN=GAMBLE, FECHAUPD=2023-08-09 21:38:53.0, APLICACION=6, VERSION=0}
{CODIGO=ACTMOVCJ, NOMBRE=Determina si esta activo los movimientos de caja de venta prepago, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2022-10-30 23:37:01.0, APLICACION=5, VERSION=0}
{CODIGO=CANSOLTI, NOMBRE=CONFIGURACION DE TIEMPO PARA CANCELAR SOLICITUDES RETIRO AUTOMATICO [HORA;MINUTO], TIPO=A, VALOR=*;30, LOGIN=GAMBLE, FECHAUPD=2022-10-30 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=TICANPTO, NOMBRE= TIEMPO EN HORAS DE ESPERA PARA CANCELACION AUTOMATICA DE SOLICITUD RETIRO, TIPO=A, VALOR=24, LOGIN=GAMBLE, FECHAUPD=2022-10-30 00:00:00.0, APLICACION=19, VERSION=0}
{CODIGO=LIMSVTAP, NOMBRE=LIMITE MINIMO SALDO VENTA PREPAGO Y MENSAJE, TIPO=A, VALOR=10000;HA LLEGADO AL LIMITE DEL SALDO. RECUERDE RECARGAR., LOGIN=GAMBLE, FECHAUPD=2022-10-30 23:37:08.0, APLICACION=6, VERSION=0}
{CODIGO=NOMIDEAR, NOMBRE=INDICA EL NOMBRE CORTO PARA LA CONEXI¿ A IDEAR , TIPO=A, VALOR=BNET, LOGIN=GAMBLE, FECHAUPD=2022-11-15 12:17:27.0, APLICACION=5, VERSION=0}
{CODIGO=TITUMLTO, NOMBRE=ENCABEZADO DEL FORMULARIO DE MILOTO, TIPO=A, VALOR=MILOTO - AUTORIZA COLJUEGOS?JUGAR LEGAL ES APOSTARLE A LA SALUD?OPERADOR NACIONAL DE JUEGOS SAS?NIT 901591461-5?CONTRATO C1855 / 09 MAYO 2022?AC 26 No 69 D 91 P 3 Bogota D.C.?Linea Nal:01 8000 416 822, LOGIN=SPLEX4300, FECHAUPD=2024-03-27 17:25:24.0, APLICACION=5, VERSION=0}
{CODIGO=PIEMLTO, NOMBRE=PIE DE PAGINA FORMULARIO DE MILOTO, TIPO=A, VALOR=Juega bien. Ser responsable es parte?del juego. Jugar sin control causa?adiccion. El juego es entretenimiento.?juega con moderacion.El jugador es responsable de la integridad del tiquete y acepta que los numeros impresos en este representan con certeza su seleccion.Prohibida la venta a menores de edad.Este tiquete es un documento al portador.Plan de premios para Miloto: 5/39..4/39..3/39 y 2/39.Forma de Pago: premios menores a 182 UVT se pagan en PDV autorizados. Premios iguales o superiores a 182 UVT se pagan unicamente en la entidad fiduciaria.Prescripcion Extintiva:1 ano(Articulo 12 Ley 1393 de 2010)., LOGIN=SPLEX4300, FECHAUPD=2024-03-27 17:24:37.0, APLICACION=5, VERSION=0}
{CODIGO=TIMILOTO, NOMBRE=TIEMPO DE ESPERA RESPUESTA ONJ (SEGUNDOS), TIPO=N, VALOR=20, LOGIN=SPLEX4300, FECHAUPD=2023-10-01 22:32:22.0, APLICACION=6, VERSION=0}
{CODIGO=CJMILOTO, NOMBRE=CONFIGURAR LA CLASE DE JUEGO PARA LA VENTA DE MILOTO, TIPO=N, VALOR=534, LOGIN=SPLEX4300, FECHAUPD=2023-10-01 22:29:49.0, APLICACION=5, VERSION=0}
{CODIGO=TITUBLT, NOMBRE=ENCABEZADO DEL FORMULARIO DE BALOTO, TIPO=A, VALOR=BALOTO - REVANCHA?AUTORIZA COLJUEGOS?JUGAR LEGAL ES APOSTARLE A LA SALUD?OPERADOR NACIONAL DE JUEGOS SAS?NIT 901591461-5?CONTRATO C1855 / 09 MAYO 2022?AC 26 No 69 D 91 P 3 Bogota D.C.?Linea Nal: 01 8000 416 822, LOGIN=GAMBLE, FECHAUPD=2024-03-27 17:17:32.0, APLICACION=5, VERSION=0}
{CODIGO=PIEBLT, NOMBRE=PIE DE PAGINA FORMULARIO DE BALOTO, TIPO=A, VALOR=Juega bien. Ser responsable es parte?del juego. Jugar sin control causa?adiccion. El juego es entretenimiento.?juega con moderacion.El jugador es responsable de la integridad del tiquete y?acepta que los numeros impresos en este representan con certeza su seleccion. Prohibida la venta a menores de edad.Este tiquete es un documento al portador.Plan de premios para Baloto y Revancha..5/43+1/16..5/43+0/16..4/43+1/16..4/43+0/16..3/43+1/16..3/43+0/16..2/43+1/16..0/43+1/16.Forma de Pago: premios menores a 182 UVT se pagan en PDV autorizados.Premios iguales o superiores a 182 UVT se pagan unicamente en la entidad fiduciaria.Prescripcion Extintiva:1 ano(Articulo 12 Ley 1393 de 2010)., LOGIN=GAMBLE, FECHAUPD=2024-03-27 17:16:57.0, APLICACION=5, VERSION=0}
{CODIGO=TAMDNIXP, NOMBRE=Parametro tama¿ de Id de la caja por pais para Tesoreria, TIPO=A, VALOR=12, LOGIN=GAMBLE, FECHAUPD=2024-04-29 00:00:12.0, APLICACION=19, VERSION=0}
{CODIGO=PGKASHID, NOMBRE=[S] Permite consultar en BD formulario KASH por el ID [N] consultar sin ID, TIPO=A, VALOR=S, LOGIN=GAMBLE, FECHAUPD=2024-05-06 16:41:30.0, APLICACION=6, VERSION=0}
{CODIGO=NITRECRM, NOMBRE=NIT Y SERVICIO PARA LA REDENCION DE BENEFICIOS Y DEBE ESTAR SEPARADO POR PIPE EJ NIT|SERVICIO, TIPO=A, VALOR=921130-12|809, LOGIN=GAMBLE, FECHAUPD=0020-06-08 00:00:00.0, APLICACION=5, VERSION=0}
{CODIGO=BCCRM, NOMBRE=REQUIERECLAVE PROD VIRTUALES QUE NO SE ELIMINARAN DE CONSOLIDADO EMPRESA AL MOMENTO DE VENTA TAT, TIPO=A, VALOR=BC, LOGIN=GAMBLE, FECHAUPD=0020-06-08 00:00:00.0, APLICACION=17, VERSION=0}
{CODIGO=VALRECC, NOMBRE=PARAMETRO ACTIVACION RECALCULO(ACTIVA;* O LOGINVENDEDOR), TIPO=A, VALOR=S;*, LOGIN=GAMBLE, FECHAUPD=2020-06-08 01:08:38.0, APLICACION=5, VERSION=0}
{CODIGO=GIDOIDEA, NOMBRE=VALIDA SI ESTA ACTIVA LA VALIDACI¿N DE REGISTRO EN CONSOLIDADO CON IDEAR, TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2020-06-08 01:09:15.0, APLICACION=6, VERSION=0}
{CODIGO=ARQLOTF, NOMBRE=DETERMINA SI EL PROCESO DE ARQUEO DE LOTERIA FISICA ESTA ACTIVO. S HABILITAR, N DESHABILITAR., TIPO=A, VALOR=N, LOGIN=GAMBLE, FECHAUPD=2020-06-08 01:09:16.0, APLICACION=5, VERSION=0}
